sample_id,source_row,split,split_seed
fresh_visobert_04343,1,test,20260520
fresh_visobert_01432,2,test,20260520
fresh_visobert_10072,3,train,20260520
fresh_visobert_00448,4,train,20260520
fresh_visobert_11413,5,dev,20260520
fresh_visobert_09668,6,test,20260520
fresh_visobert_08823,7,train,20260520
fresh_visobert_03766,8,dev,20260520
fresh_visobert_06164,9,dev,20260520
fresh_visobert_03624,10,train,20260520
fresh_visobert_02134,11,dev,20260520
fresh_visobert_10563,12,train,20260520
fresh_visobert_08400,13,train,20260520
fresh_visobert_09983,14,dev,20260520
fresh_visobert_06858,15,train,20260520
fresh_visobert_01073,16,dev,20260520
fresh_visobert_08764,17,dev,20260520
fresh_visobert_01866,18,train,20260520
fresh_visobert_05220,19,train,20260520
fresh_visobert_09222,20,dev,20260520
fresh_visobert_01831,21,dev,20260520
fresh_visobert_09664,22,train,20260520
fresh_visobert_11127,23,train,20260520
fresh_visobert_10588,24,train,20260520
fresh_visobert_09027,25,train,20260520
fresh_visobert_09269,26,dev,20260520
fresh_visobert_03524,27,train,20260520
fresh_visobert_08183,28,train,20260520
fresh_visobert_11617,29,test,20260520
fresh_visobert_01229,30,train,20260520
fresh_visobert_11308,31,train,20260520
fresh_visobert_09934,32,train,20260520
fresh_visobert_09255,33,test,20260520
fresh_visobert_09268,34,train,20260520
fresh_visobert_03741,35,train,20260520
fresh_visobert_08979,36,train,20260520
fresh_visobert_06141,37,test,20260520
fresh_visobert_00656,38,train,20260520
fresh_visobert_06226,39,train,20260520
fresh_visobert_05082,40,dev,20260520
fresh_visobert_04579,41,test,20260520
fresh_visobert_11503,42,train,20260520
fresh_visobert_03267,43,train,20260520
fresh_visobert_07813,44,train,20260520
fresh_visobert_07053,45,train,20260520
fresh_visobert_08658,46,test,20260520
fresh_visobert_11252,47,dev,20260520
fresh_visobert_02425,48,train,20260520
fresh_visobert_03237,49,train,20260520
fresh_visobert_11672,50,train,20260520
fresh_visobert_10144,51,train,20260520
fresh_visobert_11720,52,train,20260520
fresh_visobert_01176,53,dev,20260520
fresh_visobert_05572,54,test,20260520
fresh_visobert_10914,55,train,20260520
fresh_visobert_01020,56,test,20260520
fresh_visobert_07408,57,train,20260520
fresh_visobert_04789,58,train,20260520
fresh_visobert_03832,59,test,20260520
fresh_visobert_09700,60,test,20260520
fresh_visobert_10786,61,dev,20260520
fresh_visobert_06828,62,train,20260520
fresh_visobert_10213,63,train,20260520
fresh_visobert_00822,64,train,20260520
fresh_visobert_11699,65,train,20260520
fresh_visobert_07919,66,train,20260520
fresh_visobert_06320,67,test,20260520
fresh_visobert_10818,68,train,20260520
fresh_visobert_03163,69,test,20260520
fresh_visobert_07805,70,dev,20260520
fresh_visobert_09325,71,train,20260520
fresh_visobert_01274,72,train,20260520
fresh_visobert_03228,73,test,20260520
fresh_visobert_10810,74,train,20260520
fresh_visobert_10481,75,dev,20260520
fresh_visobert_06872,76,dev,20260520
fresh_visobert_07983,77,train,20260520
fresh_visobert_09493,78,test,20260520
fresh_visobert_10375,79,train,20260520
fresh_visobert_11727,80,train,20260520
fresh_visobert_06323,81,dev,20260520
fresh_visobert_02463,82,train,20260520
fresh_visobert_10163,83,train,20260520
fresh_visobert_06416,84,train,20260520
fresh_visobert_06778,85,train,20260520
fresh_visobert_05505,86,train,20260520
fresh_visobert_09695,87,test,20260520
fresh_visobert_11467,88,test,20260520
fresh_visobert_10076,89,train,20260520
fresh_visobert_11657,90,train,20260520
fresh_visobert_00076,91,train,20260520
fresh_visobert_09684,92,train,20260520
fresh_visobert_11358,93,train,20260520
fresh_visobert_09890,94,train,20260520
fresh_visobert_02255,95,train,20260520
fresh_visobert_10836,96,test,20260520
fresh_visobert_11172,97,dev,20260520
fresh_visobert_03292,98,test,20260520
fresh_visobert_09156,99,train,20260520
fresh_visobert_08300,100,train,20260520
fresh_visobert_05624,101,train,20260520
fresh_visobert_02979,102,train,20260520
fresh_visobert_02670,103,test,20260520
fresh_visobert_03679,104,train,20260520
fresh_visobert_04555,105,train,20260520
fresh_visobert_02196,106,train,20260520
fresh_visobert_11785,107,train,20260520
fresh_visobert_02559,108,test,20260520
fresh_visobert_04910,109,train,20260520
fresh_visobert_00378,110,train,20260520
fresh_visobert_08192,111,train,20260520
fresh_visobert_08185,112,train,20260520
fresh_visobert_09215,113,dev,20260520
fresh_visobert_01067,114,dev,20260520
fresh_visobert_00957,115,test,20260520
fresh_visobert_10672,116,train,20260520
fresh_visobert_04619,117,train,20260520
fresh_visobert_06294,118,train,20260520
fresh_visobert_03333,119,train,20260520
fresh_visobert_06842,120,train,20260520
fresh_visobert_01127,121,dev,20260520
fresh_visobert_07977,122,train,20260520
fresh_visobert_11323,123,dev,20260520
fresh_visobert_05585,124,test,20260520
fresh_visobert_06554,125,dev,20260520
fresh_visobert_06657,126,train,20260520
fresh_visobert_00230,127,train,20260520
fresh_visobert_10331,128,train,20260520
fresh_visobert_06745,129,train,20260520
fresh_visobert_10139,130,train,20260520
fresh_visobert_01871,131,test,20260520
fresh_visobert_04164,132,dev,20260520
fresh_visobert_06606,133,train,20260520
fresh_visobert_11810,134,train,20260520
fresh_visobert_06333,135,train,20260520
fresh_visobert_03735,136,train,20260520
fresh_visobert_04410,137,train,20260520
fresh_visobert_05057,138,train,20260520
fresh_visobert_11510,139,train,20260520
fresh_visobert_02047,140,dev,20260520
fresh_visobert_09816,141,train,20260520
fresh_visobert_00592,142,train,20260520
fresh_visobert_11796,143,dev,20260520
fresh_visobert_03530,144,train,20260520
fresh_visobert_04583,145,test,20260520
fresh_visobert_00950,146,dev,20260520
fresh_visobert_06025,147,train,20260520
fresh_visobert_01622,148,train,20260520
fresh_visobert_00748,149,train,20260520
fresh_visobert_00869,150,train,20260520
fresh_visobert_03609,151,train,20260520
fresh_visobert_11880,152,train,20260520
fresh_visobert_07590,153,train,20260520
fresh_visobert_11112,154,dev,20260520
fresh_visobert_02874,155,train,20260520
fresh_visobert_03126,156,train,20260520
fresh_visobert_09017,157,train,20260520
fresh_visobert_00149,158,train,20260520
fresh_visobert_05559,159,train,20260520
fresh_visobert_00621,160,train,20260520
fresh_visobert_01926,161,train,20260520
fresh_visobert_07722,162,train,20260520
fresh_visobert_06380,163,train,20260520
fresh_visobert_05582,164,test,20260520
fresh_visobert_03706,165,dev,20260520
fresh_visobert_11834,166,train,20260520
fresh_visobert_06254,167,train,20260520
fresh_visobert_05765,168,train,20260520
fresh_visobert_00982,169,train,20260520
fresh_visobert_06227,170,dev,20260520
fresh_visobert_07006,171,dev,20260520
fresh_visobert_03602,172,train,20260520
fresh_visobert_08879,173,train,20260520
fresh_visobert_01915,174,train,20260520
fresh_visobert_01816,175,train,20260520
fresh_visobert_09548,176,test,20260520
fresh_visobert_02089,177,train,20260520
fresh_visobert_07157,178,train,20260520
fresh_visobert_07798,179,test,20260520
fresh_visobert_01434,180,train,20260520
fresh_visobert_08571,181,train,20260520
fresh_visobert_07061,182,train,20260520
fresh_visobert_01119,183,train,20260520
fresh_visobert_05683,184,train,20260520
fresh_visobert_01712,185,dev,20260520
fresh_visobert_11869,186,train,20260520
fresh_visobert_03114,187,dev,20260520
fresh_visobert_02556,188,dev,20260520
fresh_visobert_04367,189,train,20260520
fresh_visobert_03039,190,train,20260520
fresh_visobert_02584,191,train,20260520
fresh_visobert_01821,192,train,20260520
fresh_visobert_07306,193,train,20260520
fresh_visobert_03300,194,train,20260520
fresh_visobert_06870,195,test,20260520
fresh_visobert_00300,196,test,20260520
fresh_visobert_05466,197,train,20260520
fresh_visobert_05107,198,dev,20260520
fresh_visobert_06177,199,train,20260520
fresh_visobert_08977,200,train,20260520
fresh_visobert_04711,201,dev,20260520
fresh_visobert_11882,202,train,20260520
fresh_visobert_05051,203,train,20260520
fresh_visobert_11210,204,test,20260520
fresh_visobert_07907,205,train,20260520
fresh_visobert_11929,206,train,20260520
fresh_visobert_05002,207,test,20260520
fresh_visobert_01313,208,dev,20260520
fresh_visobert_11324,209,train,20260520
fresh_visobert_09901,210,dev,20260520
fresh_visobert_01113,211,test,20260520
fresh_visobert_00454,212,test,20260520
fresh_visobert_11126,213,train,20260520
fresh_visobert_10069,214,train,20260520
fresh_visobert_04602,215,train,20260520
fresh_visobert_10412,216,dev,20260520
fresh_visobert_11483,217,test,20260520
fresh_visobert_07848,218,dev,20260520
fresh_visobert_07692,219,train,20260520
fresh_visobert_05194,220,test,20260520
fresh_visobert_05948,221,dev,20260520
fresh_visobert_03330,222,dev,20260520
fresh_visobert_08768,223,train,20260520
fresh_visobert_06159,224,train,20260520
