split,label_group,label,count,total,rate
all,pragmatic,implicit_sentiment,2517,11997,0.20980245061265315
all,pragmatic,sarcasm,817,11997,0.06810035842293907
all,pragmatic,irony,831,11997,0.0692673168292073
all,pragmatic,idiom_figurative,844,11997,0.07035092106359923
all,pragmatic,code_switching,1809,11997,0.15078769692423105
all,pragmatic,mocking,1398,11997,0.11652913228307077
all,polarity,negative,1951,11997,0.162623989330666
all,polarity,neutral,7402,11997,0.6169875802283904
all,polarity,positive,2644,11997,0.22038843044094356
all,emotion,anger,377,11997,0.03142452279736601
all,emotion,disgust,1062,11997,0.08852213053263316
all,emotion,enjoyment,3055,11997,0.25464699508210387
all,emotion,fear,341,11997,0.028423772609819122
all,emotion,other,5530,11997,0.46094857047595234
all,emotion,sadness,1063,11997,0.08860548470450946
all,emotion,surprise,569,11997,0.04742852379761607
train,pragmatic,implicit_sentiment,1678,7998,0.20980245061265315
train,pragmatic,sarcasm,545,7998,0.06814203550887722
train,pragmatic,irony,554,7998,0.0692673168292073
train,pragmatic,idiom_figurative,563,7998,0.07039259814953738
train,pragmatic,code_switching,1206,7998,0.15078769692423105
train,pragmatic,mocking,932,7998,0.11652913228307077
train,polarity,negative,1301,7998,0.16266566641660415
train,polarity,neutral,4934,7998,0.6169042260565142
train,polarity,positive,1763,7998,0.22043010752688172
train,emotion,anger,251,7998,0.031382845711427854
train,emotion,disgust,708,7998,0.08852213053263316
train,emotion,enjoyment,2037,7998,0.25468867216804203
train,emotion,fear,227,7998,0.02838209552388097
train,emotion,other,3687,7998,0.4609902475618905
train,emotion,sadness,709,7998,0.08864716179044761
train,emotion,surprise,379,7998,0.04738684671167792
dev,pragmatic,implicit_sentiment,419,1999,0.2096048024012006
dev,pragmatic,sarcasm,136,1999,0.06803401700850426
dev,pragmatic,irony,138,1999,0.06903451725862932
dev,pragmatic,idiom_figurative,140,1999,0.07003501750875438
dev,pragmatic,code_switching,301,1999,0.15057528764382191
dev,pragmatic,mocking,233,1999,0.11655827913956979
dev,polarity,negative,325,1999,0.16258129064532267
dev,polarity,neutral,1234,1999,0.6173086543271635
dev,polarity,positive,440,1999,0.22011005502751377
dev,emotion,anger,63,1999,0.03151575787893947
dev,emotion,disgust,177,1999,0.08854427213606804
dev,emotion,enjoyment,509,1999,0.2546273136568284
dev,emotion,fear,57,1999,0.028514257128564282
dev,emotion,other,921,1999,0.4607303651825913
dev,emotion,sadness,177,1999,0.08854427213606804
dev,emotion,surprise,95,1999,0.04752376188094047
test,pragmatic,implicit_sentiment,420,2000,0.21
test,pragmatic,sarcasm,136,2000,0.068
test,pragmatic,irony,139,2000,0.0695
test,pragmatic,idiom_figurative,141,2000,0.0705
test,pragmatic,code_switching,302,2000,0.151
test,pragmatic,mocking,233,2000,0.1165
test,polarity,negative,325,2000,0.1625
test,polarity,neutral,1234,2000,0.617
test,polarity,positive,441,2000,0.2205
test,emotion,anger,63,2000,0.0315
test,emotion,disgust,177,2000,0.0885
test,emotion,enjoyment,509,2000,0.2545
test,emotion,fear,57,2000,0.0285
test,emotion,other,922,2000,0.461
test,emotion,sadness,177,2000,0.0885
test,emotion,surprise,95,2000,0.0475
