system,backbone,scope,status,n,seeds,metric_name,note,implicit_sentiment_mean,implicit_sentiment_sd,sarcasm_mean,sarcasm_sd,irony_mean,irony_sd,idiom_figurative_mean,idiom_figurative_sd,code_switching_mean,code_switching_sd,mocking_mean,mocking_sd,macro_pragmatic_f1_mean,macro_pragmatic_f1_sd
PhoBERT (single-task),PhoBERT-base,baseline,COMPLETE_SEEDS,3,"21,22,23",,Comparable HF test metric files,0.8800146585024307,0.012895217530436971,0.7087394363781937,0.01336568450065642,0.9712729847239184,0.0105543549302949,0.9121266949570682,0.0077786106563450825,0.9108407841921509,0.015103342492024061,0.7915680486286674,0.02986010348080333,0.8624271012304049,0.004850612407389662
PhoBERT (fine-tune),PhoBERT-base,baseline,COMPLETE_SEEDS,3,"21,22,23",,Comparable HF test metric files,0.8575667140113864,0.0071619784752648755,0.7264091833809954,0.0050131299966028175,0.9745071770727809,0.0018780588789032596,0.8663231312284516,0.006619533493550472,0.9173241668448199,0.005292900681219354,0.7852600224075886,0.01008745029401132,0.8545650658243372,0.0036106045939239416
XLM-R-large (baseline),XLM-R-large,baseline,COMPLETE_SEEDS,3,"21,22,23",,Comparable HF test metric files,0.9216367596235837,0.0013081359457690052,0.8812303494048656,0.004297944421503656,0.9792952151111276,0.0009679387994591222,0.9285011828556056,0.006754832346493092,0.9426512893430123,0.0004459663398058473,0.9227402370780134,0.004117708921951947,0.929342505569368,0.0014479038590645334
Sailor-7B SFT,Sailor-7B,baseline,COMPLETE_SEEDS,3,"21,22,23",,Comparable HF test metric files,0.8523047740775809,0.0011382146326978382,0.7224183862278919,0.005008813536090904,0.9640116096619611,0.005543994305325592,0.9117361299318808,0.0040619913988502255,0.9047906575006436,0.008702153410043531,0.7781511519422741,0.0007525262284176679,0.8555687848903721,0.0010145803510886557
Vistral-7B SFT,Vistral-7B,baseline,COMPLETE_SEEDS,3,"21,22,23",,Comparable HF test metric files,0.8768351893047864,0.004164600126788038,0.7540381367133151,0.01062555488266847,0.9701770028385358,0.00011817551906411423,0.9152081514670236,0.003538743809949264,0.9321626730996905,0.004527966922752377,0.8115925722087396,0.011648628365445394,0.8766689542720153,0.0006170258485953172
GPT-4.1-mini zero-shot,GPT-4.1-mini,missing_or_incomplete,MISSING,0,,,NOT_STARTED receipt; no comparable test metric,,,,,,,,,,,,,,
GPT-4.1-mini 8-shot,GPT-4.1-mini,missing_or_incomplete,MISSING,0,,,NOT_STARTED receipt; no comparable test metric,,,,,,,,,,,,,,
ViPragSent-no-aux (Vistral),Vistral-7B,excluded_non_xlmr_vipragsent,COMPLETE_SEEDS,3,"21,22,23",,Complete metric pack but excluded non-XLM-R ViPragSent,0.8606551613149697,0.030214270026866264,0.7185673981140694,0.042136212296495314,0.9679961022937874,0.005385479602342109,0.8971456442643551,0.022235326034985903,0.9210948993856467,0.008020603489101637,0.7664801063321568,0.05487769762550485,0.8553232186174975,0.02573447465993298
ViPragSent-CoT-only (Vistral),Vistral-7B,excluded_non_xlmr_vipragsent,PARTIAL,2,"21,23",full_split_macro_pragmatic_f1_all_zero_fallback,Partial direct reasoning metrics; excluded non-XLM-R ViPragSent,0.17355371900826447,0.0,0.4824016563146998,0.0,0.481999481999482,0.0,0.48173101839854887,0.0,0.4591671173607355,0.0,0.4690735333156358,0.0,0.42465442106622775,0.0
ViPragSent-explanation-only (Vistral),Vistral-7B,excluded_non_xlmr_vipragsent,COMPLETE_SEEDS,3,"21,22,23",full_split_macro_pragmatic_f1_all_zero_fallback,Direct reasoning metrics; excluded non-XLM-R ViPragSent,0.441340782122905,0.0,0.4824016563146998,0.0,0.481999481999482,0.0,0.48173101839854887,0.0,0.4601550934678288,0.0018393703009568104,0.4690735333156358,0.0,0.4694502609365167,0.00030656171682616744
ViPragSent full (Vistral),Vistral-7B,excluded_non_xlmr_vipragsent,COMPLETE_SEEDS,3,"21,22,23",,Complete metric pack but excluded non-XLM-R ViPragSent,0.8492625271774296,0.054891601969916826,0.7258977060393536,0.07729367435346864,0.9475458606758383,0.03177762556062502,0.7937965807615102,0.22133542341252238,0.7836019978768721,0.2644326615826389,0.7714700753691395,0.08595217334986294,0.8119291246500239,0.12232294364665386
ViPragSent (XLM-R-large),XLM-R-large,primary,COMPLETE_SEEDS,3,"21,22,23",,Comparable HF test metric files,0.9266933597745229,0.002356902005323109,0.8936057433017844,0.00896975104347313,0.9843275320586826,0.0019545822284192976,0.9334908734953515,0.006617848649112766,0.9483808787152406,0.005639708888932971,0.9334518946591069,0.007294225437715787,0.9366583803341149,0.001871210373416054
