system,budget,n,seeds,macro_pragmatic_f1_mean,macro_pragmatic_f1_sd,sarcasm_f1_mean,sarcasm_f1_sd
PhoBERT (fine-tune),32,3,"21,22,23",0.8415843693043008,0.006505024295636056,0.6966879955369755,0.015441521313212426
PhoBERT (fine-tune),64,3,"21,22,23",0.7774235154067548,0.11777889086704087,0.7084872037878155,0.028250490830060343
PhoBERT (fine-tune),128,3,"21,22,23",0.8398716256162532,0.012061608556246068,0.7179649550796814,0.02170765138480945
PhoBERT (fine-tune),256,3,"21,22,23",0.845255705461624,0.008747622060643384,0.7335642981736931,0.011693334602727748
Vistral-7B SFT,32,3,"21,22,23",0.8615976466647113,0.0024572461101559978,0.7053540677656199,0.02351910216872941
Vistral-7B SFT,64,3,"21,22,23",0.867270284117984,0.0046032363812758366,0.7250976676363097,0.008963208070588221
Vistral-7B SFT,128,3,"21,22,23",0.8621842891901685,0.004210214132690546,0.7132062535093938,0.005573862307334363
Vistral-7B SFT,256,3,"21,22,23",0.7030418924919749,0.14160545657033533,0.6395891795172725,0.051058275497740946
Vistral-7B SFT,512,3,"21,22,23",0.8719902998734287,0.0025009432605849,0.7394520769823791,0.011681761510219098
Vistral-7B SFT,full,3,"21,22,23",0.8737671782397104,0.0019570185670843617,0.752967651355938,0.00826929835070166
ViPragSent (XLM-R-large),32,3,"21,22,23",0.9112376215985655,0.013006542741692828,0.8416114513222007,0.01597800305560073
ViPragSent (XLM-R-large),64,3,"21,22,23",0.9120993680267523,0.008137638746714918,0.8369299139085085,0.01259513235904424
ViPragSent (XLM-R-large),128,3,"21,22,23",0.9158873587852757,0.0016820090365626446,0.8516521676938269,0.007328702450401786
ViPragSent (XLM-R-large),256,3,"21,22,23",0.9164620487004982,0.012160879439896416,0.8528665200945431,0.02564842003484821
ViPragSent (XLM-R-large),512,3,"21,22,23",0.9234379560895685,0.007367664666541493,0.8719461181439212,0.012176294558447235
ViPragSent (XLM-R-large),full,3,"21,22,23",0.9111871424299399,0.01329079597730221,0.85039767061436,0.02263670321699665
