question,experiment_group,repo_id,seeds_present,missing_requested_seeds,requested_seed_complete,canonical_record_count
Q1a,q1a_xlmr_pragmatic_finetune,Thundergod2007/vipragsent-experiment-artifacts,"21,22,23",,True,3
Q2,xlmr_followup_q2_full,Thundergod2007/vipragsent-experiment-artifacts-overflow-015,"21,22,23",,True,3
Q2,xlmr_followup_q2_no_emotion_auxiliary,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,"21,22,23",,True,3
Q2,xlmr_followup_q2_no_multitask,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,"21,22,23",,True,3
Q2,xlmr_followup_q2_no_polarity_auxiliary,Thundergod2007/vipragsent-experiment-artifacts-overflow-009,"21,22,23",,True,3
Q2,xlmr_followup_q2_no_rationale,Thundergod2007/vipragsent-experiment-artifacts-overflow-007,"21,22,23",,True,3
Q2,xlmr_followup_q2_no_uncertainty_weighting,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,"21,22,23",,True,3
Q3,xlmr_followup_q3_full_128,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,"21,22,23",,True,3
Q3,xlmr_followup_q3_full_256,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,"21,22,23",,True,3
Q3,xlmr_followup_q3_full_32,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,"21,22,23",,True,3
Q3,xlmr_followup_q3_full_512,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,"21,22,23",,True,3
Q3,xlmr_followup_q3_full_64,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,"21,22,23",,True,3
Q3,xlmr_followup_q3_full_full,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,"21,22,23",,True,3
Q4,xlmr_followup_q4_full,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,"21,22,23",,True,3
