system_id,display_name,score_status,seeds_available,seeds_expected,source_ids,implicit_estimate_pct,implicit_ci_low_pct,implicit_ci_high_pct,implicit_ci_half_width_pct,sarcasm_estimate_pct,sarcasm_ci_low_pct,sarcasm_ci_high_pct,sarcasm_ci_half_width_pct,irony_estimate_pct,irony_ci_low_pct,irony_ci_high_pct,irony_ci_half_width_pct,idiom_estimate_pct,idiom_ci_low_pct,idiom_ci_high_pct,idiom_ci_half_width_pct,code_sw_estimate_pct,code_sw_ci_low_pct,code_sw_ci_high_pct,code_sw_ci_half_width_pct,mocking_estimate_pct,mocking_ci_low_pct,mocking_ci_high_pct,mocking_ci_half_width_pct,macro_prag_estimate_pct,macro_prag_ci_low_pct,macro_prag_ci_high_pct,macro_prag_ci_half_width_pct
phobert_pragmatic_single_task,PhoBERT (single-task),COMPLETE_3_OF_3,3,3,q1a_phobert_pragmatic_single_task_20260521;q1a_phobert_pragmatic_single_task_20260522;q1a_phobert_pragmatic_single_task_20260523,88.001466,85.974529,89.82439,1.924931,70.873944,67.498731,74.331682,3.416475,97.127298,95.25571,98.649515,1.696902,91.212669,88.49834,93.684556,2.593108,91.084078,88.940688,93.047648,2.05348,79.156805,75.329104,83.052561,3.861729,86.24271,85.028262,87.316157,1.143947
phobert_pragmatic_finetune,PhoBERT fine-tune,COMPLETE_3_OF_3,3,3,q1a_phobert_pragmatic_finetune_20260521;q1a_phobert_pragmatic_finetune_20260522;q1a_phobert_pragmatic_finetune_20260523,85.756671,83.920555,87.578502,1.828974,72.640918,68.842875,76.326448,3.741787,97.450718,96.042387,98.669374,1.313494,86.632313,83.640345,89.554743,2.957199,91.732417,90.053539,93.317081,1.631771,78.526002,75.691816,81.399949,2.854066,85.456507,84.225453,86.644982,1.209765
xlmr_pragmatic_finetune,XLM-R-large fine-tune,COMPLETE_3_OF_3,3,3,q1a_xlmr_pragmatic_finetune_20260521;q1a_xlmr_pragmatic_finetune_20260522;q1a_xlmr_pragmatic_finetune_20260523,92.163676,90.861362,93.477681,1.308159,88.123035,85.277099,90.845308,2.784104,97.929522,96.661251,98.962252,1.1505,92.850118,90.506014,95.030104,2.262045,94.265129,92.847932,95.507151,1.32961,92.274024,90.478125,93.846701,1.684288,92.934251,92.066493,93.744737,0.839122
sailor_pragmatic_sft,Sailor-7B SFT,COMPLETE_3_OF_3,3,3,q1a_sailor_pragmatic_sft_20260521;q1a_sailor_pragmatic_sft_20260522;q1a_sailor_pragmatic_sft_20260523,85.423622,83.478583,87.184947,1.853182,72.14482,67.631534,76.071594,4.22003,95.749656,94.001183,97.416172,1.707495,91.154597,88.320706,93.825737,2.752516,91.03293,89.157597,92.667839,1.755121,77.756578,74.6506,80.557177,2.953288,85.543701,84.206778,86.790985,1.292104
vistral_pragmatic_sft,Vistral-7B SFT,COMPLETE_3_OF_3,3,3,q1a_vistral_pragmatic_sft_20260521;q1a_vistral_pragmatic_sft_20260522;q1a_vistral_pragmatic_sft_20260523,87.356294,85.559991,89.142948,1.791478,74.73865,71.269031,78.195158,3.463063,96.690166,95.063752,98.192137,1.564193,91.478868,88.823128,93.988939,2.582906,92.79796,91.143898,94.326029,1.591066,79.909357,77.432615,82.281889,2.424637,87.161883,86.062518,88.286986,1.112234
vipragsent_no_auxiliary_vistral,ViPragSent - no auxiliary loss,COMPLETE_3_OF_3,3,3,q1a_vipragsent_no_auxiliary_vistral_20260521;q1a_vipragsent_no_auxiliary_vistral_20260522;q1a_vipragsent_no_auxiliary_vistral_20260523,87.429967,85.660427,89.193869,1.766721,74.791491,71.235816,78.444591,3.604387,97.151989,95.745979,98.492565,1.373293,91.506391,88.982986,93.972935,2.494974,92.876413,91.286434,94.428773,1.57117,79.512853,75.627191,83.064999,3.718904,87.211517,86.025805,88.483768,1.228981
cot_only_vistral,Vistral CoT-only clean rerun 003,PROVISIONAL_2_OF_3_MISSING_TEST_SCORE,2,3,q1a_cot_only_vistral_clean_rerun_003__seed_20260521;q1a_cot_only_vistral_clean_rerun_003__seed_20260522;q1a_cot_only_vistral_clean_rerun_003__seed_20260523,17.355372,16.247906,18.533605,1.142849,48.240166,47.930227,48.52028,0.295027,48.199948,47.889526,48.493433,0.301954,48.173102,47.875945,48.480165,0.30211,45.916712,45.474001,46.351931,0.438965,46.907353,46.466451,47.271637,0.402593,42.465442,42.280481,42.653865,0.186692
explanation_only_vistral,ViPragSent - explanation only,COMPLETE_3_OF_3,3,3,q1a_explanation_only_vistral_20260521;q1a_explanation_only_vistral_20260522;q1a_explanation_only_vistral_20260523,44.134078,43.566591,44.64434,0.538874,48.240166,47.943779,48.519949,0.288085,48.199948,47.930227,48.480497,0.275135,48.173102,47.875945,48.467222,0.295639,46.015509,45.504087,46.616411,0.556162,46.907353,46.509762,47.285187,0.387713,46.945026,46.743796,47.169548,0.212876
vipragsent_full_vistral,"ViPragSent (ours, Vistral)",COMPLETE_3_OF_3,3,3,q1a_vipragsent_full_vistral_20260521;q1a_vipragsent_full_vistral_20260522;q1a_vipragsent_full_vistral_20260523,84.926253,79.453943,89.232874,4.889465,72.589771,64.692172,79.45942,7.383624,94.754586,91.15366,97.822987,3.334663,79.379658,54.88589,93.654336,19.384223,78.3602,48.658556,94.78002,23.060732,77.147008,68.190885,84.187038,7.998077,81.192912,67.693702,89.268832,10.787565
azure_pragmatic_zero_shot,GPT-4.1-mini zero-shot,COMPLETE_1_OF_1,1,1,azure_pragmatic_zero_shot,45.44464,43.187795,47.544081,2.178143,56.508303,53.322273,59.607353,3.14254,53.172326,50.4354,55.830944,2.697772,52.45356,50.079362,54.907366,2.414002,62.41733,59.603901,65.015632,2.705865,54.685926,52.135007,57.257399,2.561196,54.113681,52.824577,55.412941,1.294182
azure_gpt41_mini_8shot,GPT-4.1-mini 8-shot,COMPLETE_1_OF_1,1,1,azure_gpt41_mini_8shot,49.043363,46.58287,51.246151,2.331641,61.093413,57.604462,64.400483,3.39801,52.373479,49.857242,54.992383,2.567571,50.867747,48.532044,53.469917,2.468937,56.885073,54.346843,59.624185,2.638671,54.323888,51.726266,56.752114,2.512924,54.097827,52.724424,55.420246,1.347911
