system,batch_size,repetition,latency_ms,examples_per_second,warmup_iterations_excluded
phobert_finetune,1,0,0.0,0.0,50
phobert_finetune,1,1,0.0,0.0,50
phobert_finetune,1,2,0.0,0.0,50
vistral_7b_sft,1,0,0.0,0.0,50
vistral_7b_sft,1,1,0.0,0.0,50
vistral_7b_sft,1,2,0.0,0.0,50
vipragsent_full_phobert,1,0,0.0,0.0,50
vipragsent_full_phobert,1,1,0.0,0.0,50
vipragsent_full_phobert,1,2,0.0,0.0,50
vipragsent_full_vistral,1,0,0.0,0.0,50
vipragsent_full_vistral,1,1,0.0,0.0,50
vipragsent_full_vistral,1,2,0.0,0.0,50
azure_gpt41_mini_8shot,1,0,0.0,0.0,50
azure_gpt41_mini_8shot,1,1,0.0,0.0,50
azure_gpt41_mini_8shot,1,2,0.0,0.0,50
cot_only_vistral,1,0,0.0,0.0,50
cot_only_vistral,1,1,0.0,0.0,50
cot_only_vistral,1,2,0.0,0.0,50
