system,seed,epoch,dev_macro_pragmatic_f1,dev_loss,wall_seconds
phobert_pragmatic_finetune,20260521,1,0.49,0.9,1.0
phobert_pragmatic_finetune,20260521,2,0.53,0.8,2.0
phobert_pragmatic_finetune,20260521,3,0.5700000000000001,0.7,3.0
phobert_pragmatic_finetune,20260522,1,0.49,0.9,1.0
phobert_pragmatic_finetune,20260522,2,0.53,0.8,2.0
phobert_pragmatic_finetune,20260522,3,0.5700000000000001,0.7,3.0
phobert_pragmatic_finetune,20260523,1,0.49,0.9,1.0
phobert_pragmatic_finetune,20260523,2,0.53,0.8,2.0
phobert_pragmatic_finetune,20260523,3,0.5700000000000001,0.7,3.0
vistral_pragmatic_sft,20260521,1,0.49,0.9,1.0
vistral_pragmatic_sft,20260521,2,0.53,0.8,2.0
vistral_pragmatic_sft,20260521,3,0.5700000000000001,0.7,3.0
vistral_pragmatic_sft,20260522,1,0.49,0.9,1.0
vistral_pragmatic_sft,20260522,2,0.53,0.8,2.0
vistral_pragmatic_sft,20260522,3,0.5700000000000001,0.7,3.0
vistral_pragmatic_sft,20260523,1,0.49,0.9,1.0
vistral_pragmatic_sft,20260523,2,0.53,0.8,2.0
vistral_pragmatic_sft,20260523,3,0.5700000000000001,0.7,3.0
vipragsent_full_vistral,20260521,1,0.49,0.9,1.0
vipragsent_full_vistral,20260521,2,0.53,0.8,2.0
vipragsent_full_vistral,20260521,3,0.5700000000000001,0.7,3.0
vipragsent_full_vistral,20260522,1,0.49,0.9,1.0
vipragsent_full_vistral,20260522,2,0.53,0.8,2.0
vipragsent_full_vistral,20260522,3,0.5700000000000001,0.7,3.0
vipragsent_full_vistral,20260523,1,0.49,0.9,1.0
vipragsent_full_vistral,20260523,2,0.53,0.8,2.0
vipragsent_full_vistral,20260523,3,0.5700000000000001,0.7,3.0
