split,label_group,label,count,total,rate
train,implicit_sentiment,0,16,24,0.6666666666666666
train,implicit_sentiment,1,8,24,0.3333333333333333
train,sarcasm,0,18,24,0.75
train,sarcasm,1,6,24,0.25
train,irony,0,16,24,0.6666666666666666
train,irony,1,8,24,0.3333333333333333
train,idiom_figurative,0,18,24,0.75
train,idiom_figurative,1,6,24,0.25
train,code_switching,0,16,24,0.6666666666666666
train,code_switching,1,8,24,0.3333333333333333
train,mocking,0,18,24,0.75
train,mocking,1,6,24,0.25
train,polarity,negative,8,24,0.3333333333333333
train,polarity,neutral,8,24,0.3333333333333333
train,polarity,positive,8,24,0.3333333333333333
train,emotion,anger,4,24,0.16666666666666666
train,emotion,disgust,4,24,0.16666666666666666
train,emotion,enjoyment,4,24,0.16666666666666666
train,emotion,fear,3,24,0.125
train,emotion,other,3,24,0.125
train,emotion,sadness,3,24,0.125
train,emotion,surprise,3,24,0.125
dev,implicit_sentiment,0,8,12,0.6666666666666666
dev,implicit_sentiment,1,4,12,0.3333333333333333
dev,sarcasm,0,9,12,0.75
dev,sarcasm,1,3,12,0.25
dev,irony,0,8,12,0.6666666666666666
dev,irony,1,4,12,0.3333333333333333
dev,idiom_figurative,0,9,12,0.75
dev,idiom_figurative,1,3,12,0.25
dev,code_switching,0,8,12,0.6666666666666666
dev,code_switching,1,4,12,0.3333333333333333
dev,mocking,0,9,12,0.75
dev,mocking,1,3,12,0.25
dev,polarity,negative,4,12,0.3333333333333333
dev,polarity,neutral,4,12,0.3333333333333333
dev,polarity,positive,4,12,0.3333333333333333
dev,emotion,anger,2,12,0.16666666666666666
dev,emotion,disgust,2,12,0.16666666666666666
dev,emotion,enjoyment,2,12,0.16666666666666666
dev,emotion,fear,2,12,0.16666666666666666
dev,emotion,other,2,12,0.16666666666666666
dev,emotion,sadness,1,12,0.08333333333333333
dev,emotion,surprise,1,12,0.08333333333333333
test,implicit_sentiment,0,42,64,0.65625
test,implicit_sentiment,1,22,64,0.34375
test,sarcasm,0,48,64,0.75
test,sarcasm,1,16,64,0.25
test,irony,0,43,64,0.671875
test,irony,1,21,64,0.328125
test,idiom_figurative,0,48,64,0.75
test,idiom_figurative,1,16,64,0.25
test,code_switching,0,43,64,0.671875
test,code_switching,1,21,64,0.328125
test,mocking,0,48,64,0.75
test,mocking,1,16,64,0.25
test,polarity,negative,22,64,0.34375
test,polarity,neutral,21,64,0.328125
test,polarity,positive,21,64,0.328125
test,emotion,anger,10,64,0.15625
test,emotion,disgust,9,64,0.140625
test,emotion,enjoyment,9,64,0.140625
test,emotion,fear,9,64,0.140625
test,emotion,other,9,64,0.140625
test,emotion,sadness,9,64,0.140625
test,emotion,surprise,9,64,0.140625
